"","SAMPLE_NUMBER","FURO011204","MISC011196"
"1",11475199,"0","8"
"2",11475507,"11.105882353","6"
"3",11475533,"10.844444444000001","6"
"4",11475565,"0","6"
"5",11475598,"10.828571429","6"
"6",11502362,"8.2363636364000001","<5"
"7",11502458,"6.15","<5"
"8",11502531,"9.1608695652000005","<5"
"9",11502601,"6.6277777778000004","11"
"10",11502675,"6.9105263158000003","9 mg/100g"
"11",11513418,"11.8712993","8 mg/100g"
"12",11513491,"11.104129425","8 mg/100g"
"13",11513519,"10.734377519000001","7 mg/100g"
"14",11513543,"10.637522132999999","9 mg/100g"
"15",11513566,"13.209092882","10 mg/100g"
"16",11522979,"8.0055555556000009","8 mg/100g"
"17",11523066,"6.0294117646999998","9 mg/100g"
"18",11523144,"5.4611111111000001","9 mg/100g"
"19",11523169,"5.8888888889000004","8 mg/100g"
"20",11523189,"10.008333332999999","8 mg/100g"
"21",11553153,"0","8 mg/100g"
"22",11553196,"11.15","8 mg/100g"
"23",11553233,"10.952941176","7 mg/100g"
"24",11553667,"11.442105263","7 mg/100g"
"25",11553703,"13.094444444000001","9 mg/100g"
"26",11581195,"12.105555556000001","7 mg/100g"
"27",11581276,"5.8529411764999999","8 mg/100g"
"28",11581316,"9.0222222221999999","8 mg/100g"
"29",11581446,"13.068421053","8 mg/100g"
"30",11581480,"10.827272727","5 mg/100g"
"31",11593320,"6.2222222222000001","<5"
"32",11593398,"5.9611111111000001","<5"
"33",11593842,"9","<5"
"34",11593843,"8.4105263158000003","<5"
"35",11593914,"9.2166666667000001","<5"
"36",11608237,"9.6210526315999996","<5"
"37",11608293,"7.7949999999999999","<5"
"38",11608353,"9.4555555556000002","<5"
"39",11608399,"8.6894736841999993","<5"
"40",11608433,"9.3666666667000005","<5"
"41",11616071,"13.431578947","<5 mg/100g"
"42",11616230,"13.821052632000001","<5 mg/100g"
"43",11616328,"10.077272727","<5mg/100g"
"44",11616365,"16.044444444","<5 mg/100g"
"45",11616403,"12.7","<5 mg/100g"
"46",11642886,"12.394444443999999","<5"
"47",11643071,"12.811111111000001","<5"
"48",11643123,"13.311111111000001","<5"
"49",11643151,"11.327777778","<5"
"50",11643199,"13.7","<5"
"51",11859889,"7.8666666666999996","<5"
"52",11859961,"7.0333333332999999","<5"
"53",11860016,"8.9275862068999992","<5"
"54",11860108,"7.1444444444000004","<5"
"55",11860193,"7.4666666667000001","<5"
"56",11869972,"6.4823529412000003","<5"
"57",11870139,"6.7842105262999999","<5"
"58",11870235,"7.3666666666999996","<5"
"59",11870363,"5.5611111110999998","<5"
"60",11870620,"8.0611111111000007","<5"
"61",11882208,"7.5764705882000003","<5"
"62",11882279,"8.8176470588000004","<5"
"63",11882315,"8.6","<5"
"64",11882342,"8.2117647059000003","<5"
"65",11882370,"9.4625000000000004","<5"
"66",11899808,"11.044444444","<5"
"67",11899920,"10.929411764999999","<5"
"68",11899957,"12.447058824000001","<5"
"69",11900009,"11.011111111","<5"
"70",11900036,"8.6111111110999996","<5"
"71",11900067,"9.2444444443999991","<5"
"72",11900105,"10.683333333","<5"
"73",11900153,"11.047058824","<5"
"74",11900358,"11.438888888999999","<5"
"75",11911994,"9.7105263157999993","<5"
"76",11912093,"11.166666666999999","<5"
"77",11912128,"9.6684210525999994","<5"
"78",11912156,"9.9944444443999991","<5"
"79",11912216,"10.927777777999999","<5"
